id_cliente,nome,email,cidade,estado,pais,data_cadastro,canal_aquisicao,segmento
38,Souza Novais - EI,lucas-gabrielmartins@das.com,Moura,CE,BR,2022-09-26,outbound,varejo
39,Souza,silveiraaurora@fonseca.com,Campos,RJ,BR,2025-08-27,parceiro,servicos
40,Pacheco,dmarques@ramos.br,Farias,PI,BR,2023-11-03,inbound,industria
41,Fonseca,heloisaguerra@nogueira.br,Campos do Sul,MS,BR,2024-10-15,outbound,saude
42,Carvalho Moraes - ME,manuellapastor@alves.br,Mendonca,BA,BR,2025-07-25,inbound,educacao
43,Sa S/A,isabella31@silveira.org,Rios,ES,BR,2024-05-06,parceiro,industria
44,Cassiano e Filhos,zaparecida@porto.org,Carvalho,PE,BR,2022-05-25,parceiro,servicos
45,Vieira Rodrigues - ME,lorenzoda-costa@farias.br,Nascimento,MS,BR,2022-08-23,outbound,ti
46,Gomes - ME,oliviamoreira@silveira.com,Novaes do Campo,MG,BR,2023-11-22,inbound,financeiro
47,Moura,theo25@moraes.br,Machado da Serra,MT,BR,2023-12-21,outbound,industria
48,Novaes,melissapires@souza.br,Vargas,RN,BR,2025-03-05,outbound,financeiro
49,Rodrigues e Filhos,nduarte@monteiro.br,Aparecida,RS,BR,2022-12-19,evento,educacao
50,Rodrigues - EI,andradeasafe@cassiano.com,Novais,PB,BR,2024-09-20,inbound,industria
51,Vargas,aparecidaasafe@cavalcante.br,da Mata do Oeste,PE,BR,2022-10-02,inbound,financeiro
52,Camargo,dborges@moraes.br,Duarte,RS,BR,2024-06-28,inbound,varejo
53,Lopes,ana-liz99@goncalves.br,Silva,RJ,BR,2025-09-08,inbound,servicos
54,Marques Abreu e Filhos,avasconcelos@abreu.com,Campos,SC,BR,2025-04-21,inbound,financeiro
55,Montenegro,lorenzo50@cassiano.com,Fernandes,DF,BR,2023-03-16,evento,educacao
56,Montenegro Caldeira e Filhos,nathan53@duarte.com,Novais de Cunha,RS,BR,2024-12-22,inbound,varejo
57,Porto,lbarbosa@goncalves.br,Lopes do Sul,PB,BR,2024-05-21,outbound,industria
58,Cassiano Freitas S.A.,garcialucas-gabriel@carvalho.net,Rocha de Campos,ES,BR,2023-10-13,outbound,varejo
59,Peixoto Ltda.,sofiaalves@rios.br,Castro de Goias,RJ,BR,2024-07-31,outbound,financeiro
60,Almeida,camargoluna@sa.org,Aparecida da Prata,DF,BR,2022-02-03,evento,ti
61,Fonseca Ltda.,isabela08@da.org,Cunha do Galho,RS,BR,2023-12-06,outbound,financeiro
62,Araujo da Costa - EI,mendoncaayla@marques.net,Castro,MT,BR,2024-05-16,inbound,saude
63,Barros e Filhos,cardosonicolas@camargo.net,Ferreira do Sul,AM,BR,2024-09-11,inbound,ti
64,Azevedo,melina62@mendonca.com,Marques,MS,BR,2024-04-11,parceiro,saude
65,Cardoso Ribeiro - ME,sapedro-miguel@ferreira.com,Dias,PE,BR,2025-01-15,evento,ti
66,da Luz Moura - EI,heitor64@sales.br,Farias do Amparo,MT,BR,2025-05-18,inbound,varejo
67,Cunha,mateuspimenta@rocha.net,Moraes,PE,BR,2023-04-07,parceiro,varejo
68,Silva das Neves - ME,liviamoura@andrade.com,Almeida,AM,BR,2022-03-22,outbound,ti
69,Macedo,julia35@fogaca.com,Alves Grande,PA,BR,2022-11-18,outbound,saude
70,Campos,casa-grandedavi-lucca@da.br,das Neves de Leao,PB,BR,2023-02-19,evento,ti
71,Camara Azevedo Ltda.,auroracorreia@oliveira.br,Viana do Galho,MS,BR,2024-09-18,inbound,ti
72,Pastor - EI,anthony-gabrielbarros@fonseca.org,Rocha,PA,BR,2022-07-09,parceiro,varejo
73,Pastor Camara S/A,varaujo@da.br,Barros,CE,BR,2025-06-10,inbound,saude
74,Santos e Filhos,da-luzana-sophia@vargas.com,Cardoso,MS,BR,2023-01-27,outbound,servicos
75,da Conceicao S/A,portonicolas@abreu.br,Carvalho,PA,BR,2025-04-07,inbound,industria
76,Farias S/A,da-cruzliz@da.com,Freitas de Vasconcelos,SP,BR,2022-06-17,parceiro,varejo
77,da Mota Rios - ME,gael-henriqueabreu@da.br,Vasconcelos,BA,BR,2025-06-08,inbound,financeiro
78,Nogueira Cardoso e Filhos,jfogaca@aparecida.org,Porto,CE,BR,2025-03-19,outbound,financeiro
79,da Cruz,tdias@ferreira.br,da Cruz,SP,BR,2023-10-26,parceiro,financeiro
80,Jesus,lcasa-grande@pinto.br,Pereira,ES,BR,2023-01-16,inbound,financeiro
81,Brito Brito e Filhos,alice17@almeida.br,Pereira,PE,BR,2025-07-22,inbound,ti
82,Fogaca,mcunha@pinto.br,Montenegro,GO,BR,2024-06-16,outbound,financeiro
83,Jesus,martinsantony@da.br,Martins,MA,BR,2024-05-13,inbound,ti
84,Siqueira,rodrigofarias@novais.br,da Rocha,RN,BR,2022-03-03,parceiro,ti
85,Rocha e Filhos,martinsemanuella@aragao.br,Nascimento de Carvalho,PE,BR,2023-06-12,parceiro,financeiro
86,Araujo - ME,aparecidaana-laura@sampaio.br,Abreu,MG,BR,2024-05-11,inbound,financeiro
87,Caldeira,dcardoso@cavalcante.net,das Neves,MG,BR,2022-05-30,parceiro,servicos
88,Correia Correia - EI,maria-clarasiqueira@cunha.net,Novaes,SP,BR,2025-03-11,outbound,servicos
89,Carvalho,isabelateixeira@cardoso.br,Pimenta,PR,BR,2022-04-26,inbound,educacao
90,Cirino,ana-juliamoura@marques.com,Sousa,DF,BR,2024-04-03,inbound,servicos
91,Martins,andrebarbosa@jesus.org,Farias da Prata,BA,BR,2022-03-06,evento,educacao
92,Barbosa Macedo - EI,xmendes@da.com,Pimenta do Campo,CE,BR,2022-11-06,outbound,varejo
93,Aragao e Filhos,ana-carolina18@sales.com,Carvalho,BA,BR,2023-12-07,inbound,ti
94,Borges S.A.,cunhamaya@aparecida.com,da Rocha,CE,BR,2024-05-03,parceiro,ti
95,Jesus Mendonca - ME,vitor-hugo33@fonseca.com,Monteiro,PE,BR,2024-10-20,outbound,ti
96,Guerra Araujo S.A.,thomasaparecida@sampaio.com,Rezende,ES,BR,2025-03-30,parceiro,ti
97,Abreu,siqueirasarah@guerra.org,Correia,RJ,BR,2022-11-02,evento,ti
98,da Luz,ufreitas@cassiano.com,Aparecida,SP,BR,2025-07-25,inbound,ti
99,da Paz,leo77@moreira.br,Correia de Minas,AM,BR,2025-08-12,parceiro,varejo
100,Sampaio,xfarias@vargas.org,Melo Alegre,PR,BR,2024-05-22,evento,varejo
101,Cassiano,joao-miguel92@monteiro.br,Oliveira de Porto,MG,BR,2022-06-18,outbound,financeiro
102,da Rocha Cunha S/A,borgesotto@fonseca.br,Moreira,ES,BR,2024-10-27,parceiro,saude
103,Souza Ltda.,ndas-neves@carvalho.com,Silveira,PE,BR,2025-03-01,inbound,varejo
104,Aragao - EI,fernandolima@araujo.br,Brito da Serra,MG,BR,2023-08-11,inbound,financeiro
105,Montenegro,mateusmoraes@da.br,Guerra,SP,BR,2024-02-01,outbound,saude
106,Araujo Moraes S/A,salesalicia@souza.net,Sousa de Azevedo,MG,BR,2022-12-13,evento,servicos
107,Azevedo Peixoto S/A,maria-alice77@campos.com,Azevedo de da Costa,PR,BR,2024-08-12,inbound,industria
108,Guerra Campos - EI,samuel86@garcia.com,Cardoso de Minas,MS,BR,2024-01-05,inbound,varejo
109,Pacheco Peixoto S/A,ofernandes@costela.net,Pinto da Serra,MT,BR,2025-06-30,evento,varejo
110,Leao e Filhos,ocosta@mendes.br,Rocha da Praia,MG,BR,2023-02-14,inbound,ti
111,da Luz,dcunha@dias.br,Porto de Lopes,SP,BR,2023-06-27,outbound,educacao
112,Rios Silva Ltda.,marialopes@da.br,Guerra de Sampaio,PR,BR,2022-12-21,inbound,financeiro
113,da Luz Goncalves S.A.,ferreiramariana@porto.net,Ramos do Galho,MT,BR,2023-12-14,inbound,saude
114,Marques,gsa@moura.com,Duarte,BA,BR,2023-08-07,inbound,industria
115,Sa,ana-livia29@jesus.br,Alves,CE,BR,2023-05-26,inbound,industria
116,Albuquerque - ME,pintoasafe@dias.com,Gomes das Pedras,MS,BR,2023-06-17,outbound,varejo
117,Barbosa - EI,isabela11@vargas.br,Mendonca de Minas,MS,BR,2023-06-12,inbound,industria
118,Montenegro da Luz S.A.,gael07@peixoto.com,Araujo de Camargo,DF,BR,2024-08-04,outbound,saude
119,Azevedo,wvieira@caldeira.com,Fogaca do Amparo,PA,BR,2025-04-13,inbound,financeiro
120,Freitas da Paz S.A.,sarah90@mendonca.br,da Costa de Sa,MA,BR,2024-04-03,inbound,ti
121,Nogueira,maria-alicealbuquerque@siqueira.br,das Neves da Praia,BA,BR,2022-03-19,evento,financeiro
122,Pimenta,igorfogaca@cavalcante.org,Rocha do Sul,RN,BR,2023-03-16,inbound,industria
123,Rios - EI,dantegomes@freitas.com,Moreira Verde,PI,BR,2023-07-03,inbound,varejo
124,Ribeiro,guerramaria-luisa@pimenta.com,Azevedo Alegre,RS,BR,2025-06-09,inbound,saude
125,Carvalho Ltda.,vitor35@guerra.com,Cardoso de Pereira,PR,BR,2023-02-04,inbound,industria
126,Caldeira e Filhos,manuela19@sales.net,Machado do Norte,BA,BR,2025-05-21,parceiro,saude
127,da Mata da Paz - EI,maysasantos@andrade.br,Castro da Mata,PA,BR,2025-05-01,outbound,industria
128,Silva Fernandes S.A.,josefernandes@fonseca.com,da Rosa da Prata,MS,BR,2023-12-02,outbound,ti
129,Montenegro,cirinorhavi@costa.com,Pastor,GO,BR,2025-07-14,outbound,servicos
130,da Cunha,julia43@macedo.com,Mendes,RS,BR,2022-05-06,inbound,industria
131,Borges e Filhos,ramosalana@costela.com,Lima do Oeste,PA,BR,2024-04-13,inbound,servicos
132,da Mota,mourahelena@almeida.com,Novaes do Amparo,BA,BR,2023-06-28,outbound,saude
133,Abreu Ltda.,nnascimento@almeida.br,Macedo da Praia,MA,BR,2023-05-17,outbound,financeiro
134,Porto da Luz S.A.,ana-carolina59@caldeira.net,Guerra de Caldeira,RJ,BR,2024-04-03,outbound,ti
135,Novaes,cassianoelisa@macedo.com,Ribeiro,DF,BR,2025-07-08,inbound,ti
136,Novais,qcorreia@da.com,Azevedo do Campo,PA,BR,2023-01-22,inbound,varejo
137,Camargo S/A,agatha07@da.br,Guerra de Camargo,SC,BR,2023-02-16,parceiro,varejo
138,Nogueira Andrade Ltda.,rezendehadassa@pires.net,Marques Grande,ES,BR,2025-01-22,inbound,educacao
139,Lopes Cardoso S/A,snovaes@correia.org,Camara de Rodrigues,ES,BR,2022-11-24,outbound,varejo
140,Fonseca,ravi-lucca94@vasconcelos.com,Caldeira,PI,BR,2022-04-10,inbound,ti
141,Fogaca S.A.,macedosophia@siqueira.br,da Cruz,GO,BR,2023-04-06,evento,ti
142,Rios Caldeira Ltda.,bella84@cavalcanti.com,Cardoso do Campo,BA,BR,2025-08-31,evento,ti
143,Pinto,esilveira@rodrigues.com,Camara de Costela,SP,BR,2022-01-25,outbound,ti
144,da Costa Castro S.A.,gaelnovaes@lima.br,Mendonca do Campo,SP,BR,2023-05-09,outbound,saude
145,Alves,brunacavalcanti@pastor.net,das Neves,PI,BR,2022-12-19,parceiro,financeiro
146,Sousa Farias - ME,thomas45@silva.com,Monteiro,PA,BR,2024-05-18,outbound,ti
147,da Mata Castro e Filhos,fmacedo@ramos.com,da Costa do Campo,CE,BR,2025-02-14,parceiro,saude
148,Garcia S/A,siqueiraanthony-gabriel@albuquerque.org,Araujo,MG,BR,2022-07-18,inbound,servicos
149,Camara,murilo71@rodrigues.org,Ramos,BA,BR,2025-07-26,inbound,ti
150,Marques Ferreira Ltda.,biancamacedo@da.com,Correia do Amparo,SC,BR,2024-04-26,evento,servicos
151,Camara Alves e Filhos,maria-clarada-costa@costela.org,Abreu dos Dourados,PE,BR,2025-01-07,parceiro,servicos
152,Guerra Farias Ltda.,tcardoso@moreira.net,Araujo,CE,BR,2023-06-10,outbound,varejo
153,Vargas Ltda.,lorenzofarias@fernandes.com,Alves,PR,BR,2023-06-25,evento,financeiro
154,Ramos,qmachado@porto.com,Cavalcanti do Amparo,SP,BR,2023-04-22,parceiro,ti
155,Rocha,raulmoreira@mendonca.com,Duarte das Flores,MA,BR,2022-01-10,inbound,industria
156,Alves,maria-lizalbuquerque@moura.br,Aparecida do Galho,DF,BR,2025-07-07,outbound,educacao
157,da Luz S.A.,vsiqueira@castro.com,da Rosa da Praia,ES,BR,2023-06-08,outbound,educacao
158,Andrade,andradeana-laura@porto.net,Fernandes,MS,BR,2024-03-20,parceiro,industria
159,Peixoto - ME,joao-felipe03@rocha.net,Nascimento,CE,BR,2024-02-11,inbound,varejo
160,Siqueira,esther35@vieira.com,Vargas de Rezende,PI,BR,2024-05-09,inbound,varejo
161,Lopes,diasjuliana@nogueira.br,Aragao de Andrade,RN,BR,2024-10-26,inbound,industria
162,Gomes - EI,rnunes@jesus.br,Vasconcelos,RN,BR,2024-11-24,inbound,financeiro
163,da Cunha Aparecida e Filhos,diego99@nogueira.br,Novais do Norte,PI,BR,2022-06-24,inbound,financeiro
164,Abreu,camaraana-luiza@dias.br,da Luz,ES,BR,2023-03-18,inbound,varejo
165,Fonseca Lopes S/A,lorenzopeixoto@monteiro.br,Sa,BA,BR,2025-03-16,parceiro,industria
166,Pinto,marianedias@cassiano.net,Pimenta Grande,RJ,BR,2025-05-01,inbound,industria
167,Ribeiro,montenegroyasmin@caldeira.br,Cardoso do Norte,MG,BR,2024-11-02,outbound,financeiro
168,Silveira Ltda.,oguerra@da.com,Jesus,RN,BR,2022-09-03,outbound,ti
169,Rios,britocamila@siqueira.com,Almeida,PR,BR,2023-11-06,outbound,varejo
170,Duarte,lmoraes@pereira.br,Caldeira,RN,BR,2022-04-24,inbound,educacao
171,Sampaio,wabreu@rocha.org,Sales,RN,BR,2024-10-08,inbound,saude
172,Novaes,barbosavicente@lima.org,da Rosa da Serra,RN,BR,2024-03-04,outbound,ti
173,Correia Leao e Filhos,wgoncalves@cirino.br,Pinto,RJ,BR,2022-08-21,outbound,financeiro
174,Rocha,arthur-gabriel75@ferreira.net,Goncalves do Amparo,RJ,BR,2024-09-06,inbound,servicos
175,Pimenta Nunes Ltda.,emanuelly62@camara.br,Silveira,PR,BR,2025-09-07,inbound,varejo
176,Novaes,gfarias@sales.com,Cassiano,SP,BR,2022-05-06,parceiro,financeiro
177,da Rosa Ltda.,pauloaragao@mendonca.br,Costa,SP,BR,2025-08-29,outbound,saude
178,Lopes Viana - EI,fernandesleticia@jesus.br,Novais Grande,MA,BR,2023-05-26,evento,varejo
179,Martins,kbarros@nunes.net,Camara,RJ,BR,2022-10-08,parceiro,financeiro
180,Macedo,ana-ceciliada-luz@das.br,da Costa,ES,BR,2024-03-08,inbound,varejo
181,Moraes Melo e Filhos,upacheco@moraes.br,Porto,SC,BR,2024-09-04,parceiro,ti
182,Ribeiro Barros Ltda.,guilhermeda-paz@melo.com,Novaes,RS,BR,2024-06-21,inbound,financeiro
183,Borges,moreirarael@teixeira.com,Nascimento,GO,BR,2025-07-30,inbound,varejo
184,Rocha das Neves S.A.,qsales@machado.org,Aragao de Sousa,RN,BR,2023-10-13,parceiro,varejo
185,Casa Grande Alves S/A,manuela86@costa.com,Fonseca,SC,BR,2023-01-27,inbound,saude
186,Melo Pimenta S/A,marquesdavi-lucas@brito.org,Garcia de Cunha,PR,BR,2023-01-17,inbound,varejo
187,Leao,ian82@sa.br,Rezende,PI,BR,2022-08-04,evento,varejo
188,Silva Sampaio - ME,montenegromaria-helena@silva.br,Oliveira dos Dourados,RJ,BR,2023-06-26,inbound,servicos
189,Guerra,maria-eduardada-mata@ferreira.com,Vasconcelos do Norte,SC,BR,2023-08-29,inbound,industria
190,Casa Grande Rezende e Filhos,pachecoana-clara@ribeiro.com,Cirino do Oeste,GO,BR,2022-04-26,inbound,financeiro
191,Sa S/A,mendesalicia@gomes.com,Barros Verde,AM,BR,2023-05-24,outbound,ti
192,Camara,liviadas-neves@da.com,Fernandes de Goias,AM,BR,2022-09-28,inbound,saude
193,Sampaio Moreira - ME,lucas-gabrielmoura@montenegro.net,Nascimento,SP,BR,2025-08-07,parceiro,educacao
194,Novais S.A.,jalves@aragao.net,Pereira,CE,BR,2024-11-28,evento,varejo
195,Marques S.A.,marcela43@novais.com,Novaes,SC,BR,2024-11-13,outbound,ti
196,Rios,alvesana-livia@da.com,Costa do Norte,AM,BR,2024-02-15,inbound,varejo
197,Sa,vitoriapires@da.br,Teixeira de Rezende,MG,BR,2024-12-02,parceiro,saude
198,Pimenta,isabellyvasconcelos@brito.com,Gomes,PI,BR,2025-04-08,outbound,saude
199,Novaes,albuquerqueluara@macedo.com,Jesus,RS,BR,2022-12-06,outbound,ti
200,Castro,jose-pedro95@peixoto.com,Lima,MA,BR,2022-06-18,inbound,varejo
201,Machado,aurorada-mota@gomes.com,da Cunha,MG,BR,2023-10-24,inbound,varejo
202,Sa,pedro-miguelfonseca@nascimento.br,Casa Grande,MA,BR,2022-05-23,outbound,varejo
203,Porto da Mota - EI,qpinto@nascimento.br,Cunha,PI,BR,2025-01-29,outbound,varejo
204,Pires,rafaela41@barros.org,da Paz do Norte,BA,BR,2023-07-29,inbound,varejo
205,da Mota Macedo S/A,wandrade@sa.br,Garcia,PI,BR,2023-04-20,inbound,industria
206,da Costa,maria-fernandacasa-grande@farias.org,Siqueira de Novais,CE,BR,2022-11-07,inbound,varejo
207,Farias,giovannaborges@da.br,da Mata Verde,SP,BR,2024-12-19,inbound,varejo
208,Nogueira,santosaurora@caldeira.br,Araujo,PE,BR,2024-11-18,inbound,educacao
209,Carvalho S.A.,nataliada-mota@siqueira.br,Ferreira Grande,BA,BR,2023-06-15,inbound,servicos
210,Gomes Sales S.A.,milena70@nunes.org,Moraes,PB,BR,2024-09-17,parceiro,educacao
211,Azevedo Leao - ME,rcampos@oliveira.org,Silva de Silva,PE,BR,2022-03-14,outbound,ti
212,Nogueira,oliviapires@guerra.com,Rios Paulista,SP,BR,2024-05-18,outbound,educacao
213,Leao,lopeslavinia@novaes.br,Santos do Oeste,GO,BR,2023-01-29,inbound,saude
214,Costela - ME,cviana@da.com,Sa de Minas,PB,BR,2023-04-26,inbound,ti
215,Vargas,manuella53@aparecida.br,Oliveira Paulista,DF,BR,2023-04-18,outbound,ti
216,Teixeira - EI,pimentaoliver@garcia.net,Novaes,MG,BR,2022-11-09,inbound,ti
217,Mendes,ocamargo@silveira.br,Oliveira de Sales,BA,BR,2024-08-09,evento,ti
218,Fogaca Ltda.,joao36@machado.com,Casa Grande,AM,BR,2022-11-20,inbound,ti
219,Leao,marcelabarros@barbosa.br,Moura Verde,AM,BR,2024-10-09,parceiro,servicos
220,Mendonca Camara Ltda.,stephany80@da.br,Dias do Sul,PI,BR,2024-08-22,inbound,ti
221,Mendonca,salesjuan@da.br,Cassiano do Amparo,RN,BR,2022-03-28,parceiro,ti
222,Gomes Ltda.,beatriz65@gomes.net,Caldeira da Prata,RJ,BR,2022-12-25,outbound,industria
223,Silveira,wsouza@goncalves.com,Sousa,SP,BR,2023-11-26,parceiro,saude
224,Martins Cardoso - EI,joao-pedrovieira@cavalcanti.org,Ferreira,AM,BR,2022-07-16,outbound,saude
225,Goncalves - EI,gaelaraujo@mendonca.com,Cunha de Goias,ES,BR,2024-01-26,inbound,varejo
226,Barros e Filhos,da-rosastephany@nunes.net,Fernandes Alegre,PR,BR,2024-09-03,evento,ti
227,Carvalho,csilveira@cavalcanti.net,Fonseca de Ribeiro,PR,BR,2025-02-15,inbound,industria
228,Cirino,manuela93@pires.br,Rezende,CE,BR,2023-05-13,parceiro,industria
229,da Luz - ME,anthony-gabriel12@pastor.com,Pacheco,CE,BR,2024-06-26,inbound,varejo
230,Cunha,benicioazevedo@costela.org,Rocha do Amparo,MG,BR,2024-07-19,inbound,educacao
231,Duarte,maria-julia40@aragao.br,Pinto,MA,BR,2023-04-07,inbound,varejo
232,Teixeira,emanuel13@nascimento.br,Duarte,AM,BR,2024-08-27,outbound,financeiro
233,da Mota,tsouza@nogueira.net,da Luz das Flores,AM,BR,2025-06-24,outbound,varejo
234,da Cunha,da-costaagatha@sales.net,Rios da Prata,MG,BR,2022-08-22,inbound,saude
235,Melo S/A,miguelda-costa@souza.br,da Rosa de Minas,PI,BR,2023-02-21,outbound,ti
236,Ferreira S.A.,jadeazevedo@silveira.com,da Conceicao da Serra,SP,BR,2022-06-02,inbound,varejo
237,Vasconcelos e Filhos,melina61@fonseca.br,Pimenta,PI,BR,2022-09-29,evento,industria
238,Sa S/A,riosantonella@montenegro.com,Campos do Galho,GO,BR,2023-01-27,inbound,varejo
239,Costa Almeida - EI,goncalvesalicia@vieira.com,Nogueira de Fogaca,RN,BR,2023-07-01,inbound,ti
240,da Costa Cardoso - ME,davi-lucassouza@souza.br,Viana da Prata,PE,BR,2023-12-26,inbound,industria
241,Nunes S.A.,juanaparecida@vieira.com,Vasconcelos da Prata,RS,BR,2022-07-08,evento,saude
242,Sampaio,mendesliam@casa.br,Mendonca dos Dourados,SC,BR,2024-03-22,outbound,educacao
243,Vargas,lunna83@borges.org,Pires,PE,BR,2025-06-29,inbound,educacao
244,Cavalcante,josue08@das.org,Azevedo,PI,BR,2023-01-30,outbound,financeiro
245,Vasconcelos S.A.,camilada-cruz@da.com,Moraes,MG,BR,2023-10-24,evento,varejo
246,Caldeira,ana-clara17@novaes.org,da Rosa,AM,BR,2024-05-02,inbound,financeiro
247,das Neves - EI,fsouza@cassiano.com,Martins da Praia,MG,BR,2025-05-27,inbound,industria
248,Goncalves,enricoaraujo@freitas.com,Albuquerque do Campo,PB,BR,2023-08-17,outbound,educacao
249,Barbosa Pastor e Filhos,albuquerqueana@sousa.com,Vasconcelos,MT,BR,2022-07-09,outbound,saude
250,Caldeira Sampaio Ltda.,ana-luizaborges@rios.com,Duarte,PB,BR,2022-08-22,inbound,saude
251,Vieira - EI,joao-pedro50@pereira.br,Teixeira de Goias,RJ,BR,2022-08-20,outbound,varejo
252,Ferreira - EI,heitoraraujo@teixeira.com,Correia,MG,BR,2022-12-24,outbound,industria
253,Ribeiro,snovais@azevedo.br,Campos Paulista,AM,BR,2023-04-23,outbound,educacao
254,Azevedo,bviana@borges.br,Garcia,CE,BR,2022-08-25,evento,financeiro
255,Albuquerque,iporto@sampaio.com,Brito da Mata,RS,BR,2024-11-22,inbound,financeiro
256,Mendonca,ucardoso@da.br,Sampaio,SP,BR,2022-08-01,outbound,industria
257,Lopes Ltda.,zoe10@sales.com,Jesus,RS,BR,2023-01-14,inbound,servicos
258,Santos,silveirabenjamin@ferreira.com,Macedo,SP,BR,2024-10-22,parceiro,varejo
259,Lopes Cavalcanti e Filhos,calebegomes@brito.com,Silveira do Galho,MT,BR,2024-06-27,inbound,varejo
260,Pimenta,jjesus@duarte.com,Alves de Novaes,AM,BR,2023-03-26,evento,educacao
261,Martins,aparecidaana-luiza@alves.br,Camara de Jesus,PI,BR,2023-07-23,inbound,varejo
262,Siqueira,larissa90@aparecida.org,Pastor da Praia,PE,BR,2024-03-23,inbound,industria
263,Duarte,erick70@cardoso.com,da Paz,BA,BR,2022-10-06,inbound,industria
264,Borges da Mota - ME,maria-luiza30@novais.br,Vargas,MG,BR,2022-08-02,evento,varejo
265,Sa Martins - EI,jose63@cavalcante.org,Duarte do Galho,RN,BR,2025-08-01,evento,industria
266,Fernandes,igor33@duarte.com,Goncalves,SP,BR,2023-12-19,evento,ti
267,Monteiro Ltda.,diogoaraujo@mendes.com,da Luz,AM,BR,2024-08-27,parceiro,varejo
268,Mendonca Cunha Ltda.,casa-granderhavi@dias.net,Sa do Campo,ES,BR,2025-07-21,inbound,ti
269,Fernandes,benicio62@das.com,Costela,MA,BR,2024-10-31,inbound,industria
270,Peixoto,maria-julia08@cavalcante.com,Santos Paulista,MT,BR,2024-05-20,inbound,servicos
